Year,Month,Day,Hour Start,Minute Start,Hour End,Minute End,Hour Peak,Minute Peak,Hour Peak,Minute Peak,Peak Flux
2011,8,9,7,48,8,8,8,5,8,4,0.00062067
2012,3,7,0,2,0,40,0,24,0,24,0.00054109
2014,2,25,0,39,1,3,0,49,0,48,0.00046118
2014,10,24,21,7,22,13,21,41,21,42,0.00031952
2013,5,14,0,0,1,20,1,11,1,10,0.00029316
2013,5,13,15,48,16,16,16,5,16,4,0.00025874
2013,11,5,22,7,22,15,22,12,22,12,0.00024355
2013,10,29,21,42,22,1,21,54,21,54,0.00023423
2015,5,5,22,5,22,15,22,11,22,10,0.00022769
2014,6,10,11,36,11,44,11,42,11,42,0.0002266
2011,2,15,1,44,2,6,1,56,1,56,0.00022609
2015,3,11,16,11,16,29,16,22,16,22,0.00022181
2014,10,27,14,12,15,9,14,47,14,46,0.00020334
2013,10,25,14,51,15,12,15,3,15,2,0.00020158
2014,10,26,10,4,11,18,10,56,10,56,0.00020032
2011,9,6,22,12,22,24,22,20,22,20,0.00019755
2011,9,24,9,21,9,48,9,40,9,40,0.00019025
2014,12,20,0,11,0,55,0,28,0,28,0.00018924
2012,1,27,17,37,18,56,18,37,18,36,0.00017766
2011,11,3,20,16,20,32,20,27,20,26,0.00017766
2013,5,13,1,53,2,32,2,17,2,18,0.00017547
2011,9,7,22,32,22,44,22,38,22,38,0.00017279
2014,9,10,17,21,18,20,17,45,17,46,0.00016674
2014,10,22,14,2,14,50,14,28,14,28,0.00016649
2014,11,7,16,53,17,34,17,26,17,26,0.00016215
2011,3,9,23,13,23,29,23,23,23,24,0.00015803
2014,6,10,12,36,13,3,12,52,12,52,0.00015468
2011,9,22,10,29,11,44,11,1,11,0,0.0001483
2012,7,12,15,37,17,30,16,49,16,50,0.00014196
2014,4,25,0,17,0,38,0,27,0,28,0.00013919
2013,10,25,7,53,8,9,8,1,8,0,0.00013806
2012,3,7,1,5,1,23,1,14,1,14,0.00013675
2013,5,15,1,25,1,58,1,48,1,48,0.00012924
2014,1,7,18,4,18,58,18,32,18,32,0.00012509
2013,11,8,4,20,4,29,4,26,4,26,0.00012223
2012,3,5,2,30,4,43,4,9,4,10,0.00011417
2013,11,10,5,8,5,18,5,14,5,14,0.00011207
2012,7,6,23,1,23,14,23,8,23,8,0.00011191
2014,10,19,4,17,5,48,5,3,5,4,0.00011018
2014,10,25,16,55,18,11,17,8,17,8,0.00010393
2014,6,11,8,59,9,10,9,6,9,6,0.00010376
2013,11,19,10,14,10,34,10,26,10,26,0.00010372
2013,10,28,1,41,2,12,2,3,2,4,0.00010255
2014,3,29,17,35,17,54,17,48,17,48,0.00010045
2014,1,1,18,40,19,3,18,52,18,52,9.99E-05
2012,10,23,3,13,3,21,3,17,3,16,9.96E-05
2013,10,24,0,21,0,35,0,30,0,30,9.38E-05
2014,3,12,22,28,22,39,22,34,22,34,9.34E-05
2015,3,7,21,59,22,49,22,22,22,22,9.30E-05
2012,10,20,18,5,18,19,18,14,18,14,9.11E-05
2014,10,22,1,16,2,28,1,59,1,58,8.75E-05
2011,8,4,3,41,4,4,3,57,3,56,8.75E-05
2014,12,17,4,25,5,20,4,51,4,50,8.73E-05
2012,1,23,3,38,4,34,3,59,3,58,8.73E-05
2012,3,10,17,15,18,30,17,44,17,44,8.48E-05
2015,3,3,1,25,1,42,1,35,1,36,8.25E-05
2014,11,5,9,26,9,55,9,47,9,48,7.99E-05
2012,3,13,17,12,18,25,17,41,17,40,7.94E-05
2012,7,19,4,17,6,56,5,58,5,58,7.79E-05
2015,6,25,8,2,9,5,8,16,8,16,7.63E-05
2015,9,28,14,53,15,3,14,58,14,58,7.50E-05
2016,7,23,5,0,5,24,5,16,5,16,7.47E-05
2011,9,25,4,31,5,5,4,50,4,50,7.42E-05
2014,10,2,18,49,19,14,19,1,19,2,7.32E-05
2014,4,18,12,31,13,20,13,3,13,2,7.21E-05
2014,10,27,0,6,0,44,0,34,0,34,7.14E-05
2011,9,24,12,33,14,10,13,20,13,20,7.12E-05
2014,12,18,21,41,22,25,21,58,21,58,6.99E-05
2012,7,8,16,23,16,42,16,32,16,32,6.93E-05
2014,10,27,9,59,10,26,10,9,10,10,6.80E-05
2011,9,8,15,32,15,52,15,46,15,46,6.76E-05
2011,2,13,17,28,17,47,17,38,17,38,6.69E-05
2014,1,30,15,48,16,28,16,11,16,10,6.60E-05
2014,10,28,3,23,3,41,3,32,3,32,6.58E-05
2015,6,22,17,39,18,51,18,23,18,22,6.57E-05
2014,11,3,22,15,22,53,22,40,22,40,6.52E-05
2014,4,2,13,18,14,28,14,5,14,4,6.52E-05
2013,4,11,6,55,7,29,7,16,7,16,6.49E-05
2013,12,31,21,45,22,20,21,58,21,58,6.43E-05
2014,7,8,16,6,16,30,16,20,16,20,6.41E-05
2012,3,9,3,22,4,18,3,53,3,54,6.40E-05
2010,2,7,2,20,2,39,2,34,2,34,6.33E-05
2016,4,18,0,14,0,39,0,29,0,28,6.20E-05
2012,7,28,20,44,21,4,20,56,20,56,6.13E-05
2014,12,4,18,5,18,56,18,25,18,24,6.09E-05
2011,8,3,13,17,14,10,13,48,13,48,6.09E-05
2010,2,12,11,19,11,28,11,26,11,26,6.02E-05
2012,5,10,4,11,4,23,4,18,4,18,6.00E-05
2013,6,7,22,11,23,4,22,49,22,50,5.98E-05
2015,3,9,23,29,0,12,23,53,23,54,5.85E-05
2014,4,25,23,54,2,3,0,42,0,42,5.82E-05
2015,10,2,0,6,0,17,0,13,0,14,5.76E-05
2016,7,23,5,27,5,33,5,31,5,32,5.74E-05
2017,4,3,14,19,14,34,14,29,14,28,5.73E-05
2014,11,16,17,35,17,57,17,48,17,48,5.72E-05
2013,5,3,17,24,17,41,17,32,17,32,5.71E-05
2012,8,18,0,24,1,7,1,2,1,2,5.68E-05
2012,7,5,11,39,11,49,11,44,11,44,5.67E-05
2011,9,24,20,29,20,42,20,36,20,36,5.66E-05
2015,1,13,4,13,4,38,4,24,4,24,5.65E-05
2012,7,2,10,43,10,57,10,52,10,52,5.61E-05
2012,7,4,9,47,9,57,9,55,9,56,5.54E-05
2014,11,6,3,32,4,2,3,46,3,46,5.47E-05
2014,8,24,12,0,12,25,12,17,12,16,5.45E-05
2011,9,6,1,35,2,5,1,50,1,50,5.38E-05
2011,3,8,10,35,10,55,10,44,10,44,5.37E-05
2017,4,2,7,50,8,13,8,2,8,2,5.32E-05
2014,5,8,9,20,10,18,10,7,10,8,5.32E-05
2015,3,10,3,19,3,28,3,24,3,24,5.29E-05
2014,1,7,10,7,10,37,10,13,10,12,5.26E-05
2010,11,6,15,27,15,44,15,36,15,36,5.15E-05
2015,3,10,23,46,0,6,0,2,0,2,5.12E-05
2014,9,28,2,39,3,19,2,58,2,58,5.11E-05
2014,2,4,3,57,4,6,4,0,4,0,5.10E-05
2012,5,17,1,25,2,14,1,47,1,46,5.06E-05
2013,5,22,13,8,14,8,13,32,13,32,5.04E-05
2016,7,23,1,46,2,23,2,11,2,12,5.02E-05
2017,4,2,20,26,20,38,20,33,20,32,4.96E-05
2015,1,13,4,46,5,10,4,58,4,58,4.94E-05
2014,1,28,19,0,19,46,19,40,19,40,4.92E-05
2012,10,22,18,38,19,1,18,51,18,50,4.88E-05
2012,5,9,12,21,12,36,12,32,12,32,4.84E-05
2012,7,5,3,25,3,39,3,36,3,36,4.82E-05
2012,7,4,22,3,22,15,22,9,22,10,4.69E-05
2015,12,23,0,23,0,52,0,40,0,40,4.68E-05
2013,11,3,5,16,5,26,5,22,5,22,4.55E-05
2014,10,20,16,0,16,55,16,37,16,36,4.52E-05
