"Time","Flux","Count","Flux_1h_1h12m","Flux_1h_2h","Flux_1h_1d1h_top1","Flux_1h_1d1h_top2","Flux_1h_1d1h_top3","Flux_1h_1d1h_top4","Flux_1h_1d1h_top5","Flux_1h_1d1h_top6","Flux_1h_1d1h_top7","Flux_1h_1d1h_top8","Flux_1h_1d1h_top9","Flux_1h_1d1h_top10","Flux_1h_1d1h_top10sum"
2014-01-01 00:00:00,3.5622e-06,59,4.5013e-06,4.5013e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000628218
2014-01-01 00:12:00,3.6829e-06,58,3.4232e-06,4.3702e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.0003086
2014-01-01 00:24:00,4.3492e-06,59,4.3675e-06,4.3702e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000186246
2014-01-01 00:36:00,5.0588e-06,58,4.3702e-06,4.3702e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 00:48:00,5.3421e-06,59,2.888e-06,2.888e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 01:00:00,4.5013e-06,59,2.6493e-06,2.6493e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 01:12:00,3.4232e-06,58,2.5968e-06,2.5968e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 01:24:00,2.8434e-06,59,2.3712e-06,2.3712e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 01:36:00,4.3702e-06,58,2.2427e-06,2.2427e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 01:48:00,2.888e-06,59,2.0486e-06,2.0486e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 02:00:00,2.5549e-06,58,1.8046e-06,1.8046e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 02:12:00,2.5968e-06,59,1.8046e-06,1.8046e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 02:24:00,2.3712e-06,59,1.6761e-06,1.6761e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 02:36:00,2.2427e-06,59,1.4951e-06,1.4951e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 02:48:00,2.0486e-06,59,1.4584e-06,1.7154e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 03:00:00,1.8046e-06,58,1.4715e-06,1.7154e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 03:12:00,1.7181e-06,59,1.3246e-06,1.7154e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 03:24:00,1.6761e-06,58,1.28e-06,1.7154e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 03:36:00,1.4793e-06,59,1.7154e-06,1.7154e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 03:48:00,1.4164e-06,58,1.2747e-06,1.3115e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
2014-01-01 04:00:00,1.4269e-06,59,1.217e-06,1.3115e-06,1.7926e-05,1.7485e-05,1.6918e-05,1.674e-05,1.6247e-05,1.6079e-05,1.5817e-05,1.5431e-05,1.5074e-05,1.478e-05,0.000162497
